Dataset1,
X,Y
98570.23067587946,31.784799397485283
100103.69353036261,31.245550785313885
114504.21893292744,32.962461421443166
112731.24060920934,32.24300620605689
114937.33796793204,31.682162493974396
109597.73997162953,31.447540271917326
129571.108236211,33.433407259480845
128915.86394104967,32.737605200507254
130278.3189640401,32.077841282363494
137599.72915724458,32.413024610399205
147646.8883528801,33.77613605144006
147053.49245541476,33.060746033268444
150271.27753035972,32.62173649343835
166990.73027721385,34.2106040037569
168214.54562991875,33.60463554394657
169942.96959167434,33.08192545016726
162302.32856275231,32.776669204991876
190900.75833982934,34.54979389635514
191054.57627655193,33.93348600265682
192417.17605150928,33.37664075163169
217624.1073908093,34.89554738862288
215588.75616581232,34.30876927740638
220861.40943888115,33.83381103692305
247810.3197064081,35.28332286435344
245735.07932703022,34.66202540130304
252018.11717361768,34.17102696356609
281014.8267762295,35.75768149843777
280167.3472214983,35.089544104661044
282589.4278893835,34.58028287546509
320955.45615309215,36.15546739776295
320939.29998845863,35.48021590886057
318522.59573466436,34.916150251109045
365866.1667665436,36.46022485822399
366217.141304074,35.87688115672144
366849.7441450288,35.41226244178368
345345.5700448392,35.2014958248304
415151.04607355886,36.7992635158068
420057.1218486402,35.98367854877294
396819.3587288903,35.60404562714152
474156.452503038,37.22955738169787
470515.2073162525,36.61170184967503
472794.49493561604,36.16761535037707
509107.4668810586,36.50442329148234
541548.2956784592,37.599377406087136
542171.7626461146,37.01262587557031
563006.5888002523,36.72767710868662
612657.4112900745,38.04364034623642
618981.2986153695,37.45825194732531
621729.3630942628,37.09223598769074
695940.5309208127,38.350217095189855
704399.4307912852,37.52387996981044
794854.5388851672,38.75904865009627
803493.2321826452,37.91527286111629
888164.1554663258,38.30173802356305
907827.192002184,39.17087878289945
1001100.822646432,38.62862818840668
1036856.6451095466,39.583420407707024
1133984.8520608353,38.98643142584471
1187636.3939018045,40.010996167911756
1206690.8946257948,39.36154764116634
1309131.3809982126,39.28130234198112
1356435.1209564372,40.41686557881147
1345747.4883206775,39.753034602099014
1485295.9107934413,39.74864122490088
1534544.6314201467,40.844434189724566
1585289.5081182797,40.38381208593993
1538566.7589835757,40.03738667810366
1748168.202816015,41.18137154479304
1760971.6993055386,40.42050477086689
1992103.2064793624,41.57016717060119
2017313.2695876663,40.95109364675865
1987895.8768091456,40.70618572507287
2280417.018692857,41.965356580761515
2335114.202523217,41.35938034315039
2233030.8359064055,41.120645284848806
2597051.4172917116,42.40186365246818
2588807.7123926757,41.62243470830893
2974714.773307962,42.80615413052502
2980539.096256719,42.17775535742674
2936994.856075572,41.85450288572689
3397510.8998524896,43.22596813001379
3421405.0761660077,42.588143945560155
3334960.3798534162,42.25826531788896
3898889.649479442,43.57840969708654
3901751.258239,42.92744710578183
3675597.536889288,42.62365667690982
4453038.725019677,44.037783668522806
4451340.14129524,43.36671967820415
4261888.299228148,43.02858843071389
5061828.700626435,44.37707544576302
5072760.80202018,43.738092382085114
4909817.539460434,43.44713133590634
5768143.573898671,44.765230699305846
5786465.44748839,44.1145201163567
6179355.759439295,44.13857782643565
6461846.009597637,45.1674220746304
6626551.469405283,44.49541180416696
7380268.000068688,45.491803034518085
7340253.230885529,44.89421945642212
8383523.214858903,45.88713232724723
8383523.214858903,45.24207099081296
9575073.132129414,46.2234350059146
9665470.410612391,45.455532340768386
10144028.495592577,31.67091438970206
10183594.958832454,44.84668436626433
10357304.157125741,44.34183768716868
10357304.157125741,43.922614224406814
10357304.157125741,43.503390761644944
10357304.157125741,43.08416729888308
10357304.157125741,42.66494383612121
10357304.157125741,42.24572037335935
10312711.045777716,41.78657086652492
10589269.0972924,41.290822485957314
10610612.699906314,40.85148476614374
10610612.699906314,40.43226130338188
10610612.699906314,40.01303784062001
10610612.699906314,39.593814377858145
10610612.699906314,39.174590915096275
10610612.699906314,38.75536745233441
10610612.699906314,38.34090789255848
10782917.543211922,37.87086946461335
10946145.917298388,46.212707895694535
10546710.605815955,45.95267208347791
10357304.157125741,45.45103309905945
11140452.287479004,34.512953046597275
11068900.775144706,37.39016896808067
11068900.775144706,36.9709455053188
11068900.775144706,36.55172204255694
11068900.775144706,36.13249857979507
11068900.775144706,35.713275117033206
11068900.775144706,35.294051654271335
10804651.461289397,34.97282848150575
11426468.770408468,30.108883532870912
11540009.93674141,32.02335851905226
11596913.207802914,31.281484224979184
11339612.833321122,33.927492054878755
11339612.833321122,33.50826859211689
11339612.833321122,33.08904512935503
11288354.821346786,32.64089796989286
11758145.375373773,46.17752830441382
12845066.186392803,29.470761133917158
12972191.08416946,30.492360079153173
12795783.664448267,31.776930135515936
12565986.523645436,31.384021565438257
12642123.329061275,30.97623146984262
14246418.560440766,29.879686866992262
14301885.221855089,28.958275595900695
15153851.114399709,30.018369376138235
15931623.452577474,29.366395224635202
16340053.238373837,28.619143013413566
17048256.135384716,29.090361074479013
18576769.372095477,28.609282490407764
19530223.199855056,29.073211023729666
19631607.54833633,28.16040184112079
20196766.057885364,44.89127449821264
20267379.349157926,31.203628439037697
20007873.783818163,30.579148813339174
20007873.783818163,30.159925350577307
20007873.783818163,29.74070188781544
20169672.655610763,29.421293535234973
21162228.011505596,36.61841668435996
20872043.48120799,35.95736843193134
20872043.48120799,35.53814496916948
20872043.48120799,35.11892150640762
20872043.48120799,34.699698043645746
20872043.48120799,34.280474580883876
20872043.48120799,33.86125111812201
20872043.48120799,33.44202765536015
20872043.48120799,33.02280419259828
20872043.48120799,32.603580729836416
20872043.48120799,32.184357267074546
20872043.48120799,31.765133804312683
20683775.77784199,28.841685338613452
21632353.285688255,41.744899803043594
21512066.729254946,41.16318013293747
21512066.729254946,40.743956670175606
21512066.729254946,40.324733207413736
21512066.729254946,39.905509744651866
21512066.729254946,39.48628628189
21512066.729254946,39.06706281912814
21512066.729254946,38.64783935636627
21512066.729254946,38.2286158936044
21512066.729254946,37.809392430842536
21512066.729254946,37.39016896808067
21642407.47373815,37.1499321460759
22248380.662558116,28.406809051754955
22396063.512920987,44.56288278571584
21382510.957963523,28.66542092813403
23067331.846115317,46.601903840034545
22938029.828867055,45.16400794415715
22097433.676901687,43.75111371691332
22038187.251807816,43.174363862083354
22038187.251807816,42.75514039932149
22171715.73931267,42.32829469178213
24319688.54488179,45.89829029862314
25150209.44697489,47.55915091134286
25336891.068323143,44.87308505044818
26240006.387579344,46.832476744553574
26225920.62038523,46.36236774026791
28419890.65971367,47.700071698717146
28599488.68531537,47.16842012548732
28620279.432836674,32.826063357003896
28586329.02424219,45.7074898764687
29047197.628126796,46.689307596616615
28747952.965399984,46.23850626263373
29809008.04816819,40.97788699203709
29451041.52619888,45.105650132579505
29451041.52619888,44.5387456772538
29451041.52619888,44.11952221449193
29451041.52619888,43.70029875173006
