Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	Q_dot [MW]	W_net [kW]	T_turb_out [C]	x_turb_out [-]	link
MARAGONE_001	4425.0	118.54898332175962	1554.117520354374	0.07351983990381196	0.6732508503725042	80.78649784653447	10.00000000000108	0.34148414688652884	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3489
SCICLI_001	4704.0	119.94368112135959	1547.2442272265184	0.07357634318185588	0.6658540337437922	82.23200750434015	10.00000000000108	0.33773235717139705	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6003
VOLPEDO_004	5625.0	124.36177577344898	1528.2140765330728	0.07366945305547123	0.6448024164343311	86.68486497017847	10.00000000000108	0.3270546230496738	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6951
PIZZO_BELLAFONTANA_001	3608.0	113.2399871794722	1576.0842395717757	0.07444639713555065	0.6900508285854029	74.90073813617579	10.00000000000108	0.35000537819959565	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4478
LADISPOLI_001	1025.0	89.38549053259739	1765.5364336163607	0.07745190437007043	0.8105453427803021	49.0617082343041	10.00000000000108	0.41112222099537993	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3208
CAMPOBASSO_001	5860.0	122.19678450415864	1518.0914759695243	0.07775313872723254	0.6156029262048454	83.28780763806135	10.00000000000108	0.3122441508385823	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1099
TRENNO_001	4500.0	115.19664934071096	1544.528448597449	0.07807530309207057	0.6416284983295015	76.28268460415362	10.00000000000108	0.32544475844168175	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6608
CESAROLO_001	4332.0	114.18107332337776	1548.3740387645407	0.07822405574824387	0.6447035650183092	75.20913351601456	10.00000000000108	0.32700448395003495	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1652
TAURASI_001	3476.0	109.2570003850926	1572.9420448555036	0.07829163868391217	0.6673843106011418	70.00625744920748	10.00000000000108	0.3385085393133772	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6318
MONTELONGO_001	4102.0	112.74107001480263	1553.9501097127188	0.07845396314133317	0.6489745694298275	73.67336761821818	10.00000000000108	0.32917080917191716	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3985
PASTONELLO_001	3480.0	109.11910798707112	1572.4297794917766	0.07849309430556062	0.6659100409626617	69.83108672066301	10.00000000000108	0.33776076497414176	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4307
PANIZZA_001	4903.0	116.59624117694572	1534.1871029901736	0.07896465659060926	0.6272119762541855	77.4949306363397	10.00000000000108	0.3181324561412311	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4299
MONTERAPPOLI_001_DIR	2108.0	98.96911657087269	1654.62397824554	0.07950576181732585	0.7172521089954628	59.31897620381264	10.00000000000108	0.36380232480561825	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4000
