Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	W_dot [MW]	link
TORRENTE_SACCIONE_008	1380.0	43.28219522389195	2369.0098178263715	0.04605653597456456	1.7303888806536074	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6439
SIBARI_001	1364.0	43.27599071472384	2369.1082208212724	0.046059673602981306	1.7303580697812486	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6174
FIUME_BASENTO_006	1362.0	43.254835957826614	2368.591274324278	0.04606895638376831	1.7295521422515674	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2584
VILLAROSA_001	1304.0	43.247783318698474	2369.3476964124825	0.04607361166392198	1.730046435252042	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6915
SELVA_015	1398.0	43.117990610706805	2364.3991233437027	0.04612782593234639	1.7236438077274925	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6030
TRAVASONA_002	1350.0	43.10653675504831	2364.88086277554	0.0461341246489733	1.723833505585689	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6560
MONTEDORO_001	1405.0	43.09153095623651	2363.5874820806343	0.046139236825059354	1.722501639935292	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3967
SERGNANO_037_DIR	1402.0	43.042834589240634	2362.35189045671	0.046160680219018826	1.7206124656442383	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6099
SERGNANO_012	1402.0	43.04061432350804	2362.2932928320183	0.046161654983068824	1.7205244970721174	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6074
MANTELLO_003	1402.0	43.038215989447636	2362.2299926146497	0.04616270799211946	1.72042947326286	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3485
RIZZO_002	1264.0	43.02396864501319	2364.1079423491155	0.04617266257925759	1.7217133771987263	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5336
SERGNANO_032_DIR	1400.0	43.004727174971805	2361.3784051715966	0.04617747148470197	1.71912938599945	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6094
SERGNANO_039_DIR	1398.0	42.96360210374875	2360.3243616928694	0.046195607909473205	1.717526702021482	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6101
VALLEZZA_201	1343.0	42.88188485445295	2359.0596203513833	0.0462330483180922	1.715023867109214	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6772
SERGNANO_041_DIR	1389.0	42.78357189272151	2355.7033505580653	0.04627525023877545	1.7105135735173087	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6103
S.POLO_001_DIR	1367.0	42.77972183279013	2355.959819154703	0.04627752572852022	1.710654495104349	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5731
SERGNANO_042_DIR	1388.0	42.763546411686114	2355.1885477485353	0.04628413354675983	1.7097336936489802	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6104
SERGNANO_034_DIR	1386.0	42.72281790272373	2354.1336197767764	0.046302214993854514	1.70814121338263	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6096
SERGNANO_019	1385.0	42.7035650928167	2353.648205224123	0.04631077077556604	1.7074002646737956	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6081
SERGNANO_013	1382.0	42.643980508995575	2381.439378106315	0.04631589971169225	1.7316540058731835	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6075
SERGNANO_035_DIR	1381.0	42.62273851432059	2351.559819859178	0.046346733998307195	1.7042473827901967	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6097
